,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Project,Sector,Target Profile,Deal Type,Max Selling Stake,Ticket Size ($Mn),Status,Company Name,Date Onboarded,Deal Lead,Teaser,IM,Model,VDR,Consultant
Argon,Agriculture,"Profile:  The company has distinguished itself in the bread-making industry, earning a reputation for producing high-quality wheat products with a production capacity of over 70,000 loaves of bread per day. It has successfully established a niche market, demonstrating expertise and commitment to excellence in its field.
Revenue: USD 4.46Mn
EBITDA: USD 0.165Mn
Total Assets: USD  5.25Mn",Equity & Debt,Majority,3.0,Open,Alicia Bakers & Confectioners Ltd,6 September 2023,Evans M,Yes,Yes,Yes,Yes,n/a
Carbon,Agriculture,"Profile : The enterprise is at the forefront of the agricultural industry, specializing in the production of seeds. Known for its innovative methods, the company has established a reputation for consistently providing high-quality, climate-resilient agricultural products. Its cutting-edge approach sets it apart in the sector, underlining its commitment to sustainable and efficient agriculture.                                                            Revenue: USD 81K                                                                       EBITDA: USD 47K                                                                     Total assets: USD 104K",Debt,n/a,0.5,Closed & Reopened,Peal Agro,5 October 2023,Brenda C,Yes,Yes,Yes,Yes,n/a
Phosphorous,Technology,"Profile: Specializes in developing custom software solutions tailored to various industries, including education, healthcare, and retail. Offerings include cloud-based ERP systems, customer feedback management, and other innovative tools designed to enhance business operations and drive growth.",Equity,Minority,5.0,On Hold,ABNO Softwares,11 August 2024,James O,No,No,No,Yes,Florent N
Hydroxide,Technology,"Profile: A fast-growing, award-winning B2C and B2B e-Commerce marketplace primarily targeted towards MSME vendors (wholesalers, retailers, industrial manufacturers, and entrepreneurs) across Kenya. The Company has thus far onboarded over 1,600 vendors and is in the rapid growth phase seeking seed-stage funding.
Revenue: USD 27,227
EBITDA: USD -497,055
Total Assets: USD 136,540",Equity,Minority,0.5,On Hold,AirDuka,15 August 2022,James O,Yes,Yes,Yes,Yes,n/a
Thulium,Agriculture,"Profile: Fast growing Halal Certified exporter of goat meat and mutton to the Middle East with an established distribution channel in Dubai with a physical sales location and fully integrated marketing team. 
Revenue: USD 1Mn
EBITDA: USD 0.08Mn
Total Assets: USD 0.09Mn",Debt,n/a,0.5,On Hold,Bethel Consult,9 June 2023,Evans M,Yes,Yes,Yes,Yes,n/a
Argon,Agriculture,"Profile: The target aggregates fresh produce from small holder farmers for supply to the leading supermarket chains in Kenya. The company operates own cold rooms to manage fresh foods and perishable products. The Company has cultivated a sustainable relationship with farmer suppliers and has paid over USD 2.4 million to farmers
Revenue: USD 1Mn
EBITDA: USD 0.1Mn
Total Assets: 0.7Mn",Debt,n/a,1.0,Open,666*,3 April 2023,Evans W,Yes,n/a,n/a,Yes,n/a
Calcium II,Agriculture,"Profile: A grower, dealer and exporter of fresh fruits, dried fruits, herbs, and vegetables. The Company works with approximately 40 farmers, 75% of these are smallholder farmers. 60% of aggregated produce is sold to local markets in Kenya, and 40% sold to export markets.
Revenue: USD 2.5Mn
EBITDA: USD 0.7Mn
Total Assets: USD 1.1Mn",Debt,n/a,0.8,Open,Six Squares Ltd,7 November 2022,Sheilla W,Yes,Yes,Yes,Yes,n/a
Methyl,Agriculture,"Profile: The target is an exporter of specialty teas and dried rosemary. The company is family-owned and has been in operation since 2013. Its target markets include North America, Australia, and Eastern Europe.
Revenue: USD 0.06Mn
EBITDA: USD 0.04Mn
Total Assets: USD 0.13Mn",Equity & Debt,Minority,0.5,Open,Eldo Tea,13 May 2022,Brenda C,Yes,Yes,Yes,Yes,n/a
Xenon,Agriculture,"Profile: A flour milling factory and distributor of maize flour and a variety of composite flours including cassava flour, soya flour, millet flour, sorghum flour, pearl millet flour, baridi flour, amaranth flour, wimbi mix flour and rice flour.
Revenue: USD 1Mn
EBITDA: USD 0.1Mn
Total Assets: USD 2.8Mn",Debt,n/a,1.0,Closed & Reopened,Machakos Millers,22 July 2022,Duncan M,Yes,Yes,Yes,Yes,n/a
Aluminium,Aviation,"Profile: The Target offers a range of customized and comprehensive aviation solutions including airline contract leasing, charter flights, scheduled flights, lease of aviation real estate, humanitarian medical rescue and evacuation operations, and VIP transportation services.
Revenue: USD 66.3Mn
EBITDA: USD 21.6Mn
Total Assets: USD 80.0Mn",Equity & Debt,Minority,20.0,Open,ALS,21 June 2022,James O,Yes,Yes,Yes,Yes,Kevin K
